price
56.01
54.83
56.11
55.87
61.1
61.64
61.82
60.45
60.67
60.2
59.89
59.74
60.85
60.75
62.01
63.21
63.44
64.75
66
65.25
64.88
64.55
64.57
65.58
64.39
66.91
68
68.8
67.28
66.31
65.2
65.98
66.4
63.04
63.1
62.66
63.15
63.17
60.76
59.9
59.3
60
61.75
61.72
61.51
62.65
61.5
62.4
62.96
64.5
64.98
64.64
64.18
62.94
62.72
61.94
61.07
61.34
60.67
58.85
59.11
